Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,GDPcapita,Inflation%,FDIInflowM
Albania,Europe,54,25,66.9,1.7,30,0,30.4,-0.6,92.7,0.1,75.6,0.5,78.1,-2.9,49.7,0.7,80,1.6,87.5,7.7,75,10,70,0,28.5,3.2,26.1,1.3,8052,2,957
Algeria,Middle East / North Africa,146,14,50.8,1.2,30,0,28.7,-0.3,80.5,0.1,51,6.9,66.3,1.1,48.3,-4.3,67.8,-8.8,60.8,-7,45,25,30,0,40.4,36.5,272.9,2.5,7477,8.9,1484
Angola,Sub-Saharan Africa,160,39,47.7,0.4,15,0,17.7,-2.3,87.7,5.1,55.3,-5.3,47.5,4.4,40.1,-4.7,63.6,2.1,70.1,-0.1,40,5,40,0,38.6,20.2,128.3,8.4,6347,10.3,-6898
Argentina,South and Central America / Caribbean,166,27,44.6,-2.1,15,0,29.5,-0.5,63.5,-0.8,49.9,-2.2,53.9,-6.2,44.9,-2.5,60,-0.4,68.9,1.3,30,-10,30,0,40.9,41,743.1,1.9,18112,10,12551
Armenia,Europe,41,18,68.9,-0.5,30,0,26.7,0.7,86.5,-1.5,81.3,-0.8,83.1,-4.5,78.5,1.4,77,4,85.5,0.1,70,-5,70,0,25,3.4,19.6,7.2,5838,2.5,489
Australia,Asia-Pacific,3,3,82,-0.6,90,0,87.7,-0.3,64.2,-2.2,62.6,-0.2,94.6,-0.9,79.2,-4.3,80.5,-3.3,86.4,0.2,85,5,90,0,35.3,22.8,970.8,3.6,42640,1.8,56959
Austria,Europe,24,14,72.4,0.6,90,0,75.5,-2.5,51,-0.1,23.5,0,76.3,2.7,80.5,0.1,79.5,0.2,87.8,1,90,5,70,0,50.5,8.5,359,0.8,42409,2.6,6315
Azerbaijan,Asia-Pacific,81,13,61.3,1.6,20,-5,22.7,-1.3,88.1,2.6,64.8,-3,73.5,4.3,77.9,-1.5,78.8,5.3,77.2,0,60,5,50,10,34.2,9.2,96.8,2.2,10478,1.1,2005
Bahamas,South and Central America / Caribbean,36,4,69.8,-0.3,70,0,66.6,-6.4,97.3,0.3,84.1,-0.8,70.7,-0.6,81.5,-0.1,75.1,-0.7,52.2,5.2,30,0,70,0,23,0.4,11.1,2.5,31382,2.3,1094
Bahrain,Middle East / North Africa,13,1,75.1,-0.4,60,5,49.4,-1.6,99.9,0,71.4,-1,76.3,0.5,82,-8.4,78.4,5.9,78.6,-4.2,75,0,80,0,30.9,1.2,33.1,3.9,28744,1.2,891
Bangladesh,Asia-Pacific,131,27,54.1,1.5,20,0,23.3,-3.7,72.5,-0.2,92.3,0.2,70.8,2.8,51.9,0,65.9,0.5,59,5,55,0,30,10,16,150,306,6.1,2039,8.7,990
Barbados,South and Central America / Caribbean,45,6,68.3,-1,80,0,77.9,-0.1,74,-0.5,49.8,-4.4,72.8,-2,78.4,-6,74.6,2.5,60.6,0.1,55,0,60,0,40.9,0.3,7.1,0,25373,4.6,356
Belarus,Europe,150,42,50.1,2.1,20,0,24.6,0.6,89.2,0.4,61.2,17.7,73.4,-1.8,77.7,0.8,33.9,-6.8,81.4,0.6,30,10,10,0,36,9.4,146.7,1.5,15634,59.2,1442
Belgium,Europe,35,17,69.9,0.7,80,0,74.2,-0.8,44.8,-0.3,14.8,0.3,89.9,-1.7,72.7,2.9,79.5,0.2,87.8,1,85,5,70,0,53.3,11.1,420.3,-0.2,37883,2.6,-1614
Belize,South and Central America / Caribbean,115,21,56.7,-0.6,30,0,6.7,6.7,82.1,-0.1,74.2,1.6,71.6,-1,67.2,-4.2,77.6,0.3,67.8,-9.4,40,0,50,0,29.3,0.3,3,5.3,8754,1.4,198
