CountryID,Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,TariffRate%,IncomeTaxRate%,CorporateTaxRate%,TaxBurden%ofGDP,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,5YGDPGRate%,GDPcapita,Unemp%,Inflation%,FDIInflowM,PublicDebt%ofGDP
1,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,10,-5,91.2,N/A,84.2,1,63.1,3.4,75,-0.8,74.3,4.8,N/A,N/A,65,0,N/A,N/A,N/A,20,20,8.7,23,32,33.70 ,10.2,9.9,1054.00 ,35,4.4,93.8,N/A
2,Albania,Europe,54,25,66.9,1.7,30,0,30.4,-0.6,92.7,0.1,75.6,0.5,78.1,-2.9,49.7,0.7,80,1.6,87.5,7.7,75,10,70,0,1.3,10,10,23,28.5,3.2,26.10 ,1.3,3.7,8052.00 ,15,2,957,60.6
3,Algeria,Middle East / North Africa,146,14,50.8,1.2,30,0,28.7,-0.3,80.5,0.1,51,6.9,66.3,1.1,48.3,-4.3,67.8,-8.8,60.8,-7,45,25,30,0,12.1,35,25,10,40.4,36.5,272.90 ,2.5,2.4,7477.00 ,9.7,8.9,"1,484",9.9
4,Angola,Sub-Saharan Africa,160,39,47.7,0.4,15,0,17.7,-2.3,87.7,5.1,55.3,-5.3,47.5,4.4,40.1,-4.7,63.6,2.1,70.1,-0.1,40,5,40,0,7.4,17,30,6.1,38.6,20.2,128.30 ,8.4,6.3,6347.00 ,N/A,10.3,"-6,897.80",29.3
5,Argentina,South and Central America / Caribbean,166,27,44.6,-2.1,15,0,29.5,-0.5,63.5,-0.8,49.9,-2.2,53.9,-6.2,44.9,-2.5,60,-0.4,68.9,1.3,30,-10,30,0,5.6,35,35,34.6,40.9,41,743.10 ,1.9,5.4,18112.00 ,7.2,10,"12,551.10",44.9
6,Armenia,Europe,41,18,68.9,-0.5,30,0,26.7,0.7,86.5,-1.5,81.3,-0.8,83.1,-4.5,78.5,1.4,77,4,85.5,0.1,70,-5,70,0,2.3,26,20,16.7,25,3.4,19.60 ,7.2,1,5838.00 ,19,2.5,489.1,39.5
7,Australia,Asia-Pacific,3,3,82,-0.6,90,0,87.7,-0.3,64.2,-2.2,62.6,-0.2,94.6,-0.9,79.2,-4.3,80.5,-3.3,86.4,0.2,85,5,90,0,1.8,45,30,25.6,35.3,22.8,970.80 ,3.6,2.5,42640.00 ,5.2,1.8,"56,958.90",27.2
8,Austria,Europe,24,14,72.4,0.6,90,0,75.5,-2.5,51,-0.1,23.5,0,76.3,2.7,80.5,0.1,79.5,0.2,87.8,1,90,5,70,0,1.1,50,25,42.1,50.5,8.5,359.00 ,0.8,0.6,42409.00 ,4.4,2.6,"6,315.10",73.7
9,Azerbaijan,Asia-Pacific,81,13,61.3,1.6,20,-5,22.7,-1.3,88.1,2.6,64.8,-3,73.5,4.3,77.9,-1.5,78.8,5.3,77.2,0,60,5,50,10,3.9,25,20,12.8,34.2,9.2,96.80 ,2.2,5.4,10478.00 ,6,1.1,"2,004.60",11.6
10,Bahamas,South and Central America / Caribbean,36,4,69.8,-0.3,70,0,66.6,-6.4,97.3,0.3,84.1,-0.8,70.7,-0.6,81.5,-0.1,75.1,-0.7,52.2,5.2,30,0,70,0,18.9,0,0,16.4,23,0.4,11.10 ,2.5,-0.6,31382.00 ,11,2.3,"1,093.90",51.9
11,Bahrain,Middle East / North Africa,13,1,75.1,-0.4,60,5,49.4,-1.6,99.9,0,71.4,-1,76.3,0.5,82,-8.4,78.4,5.9,78.6,-4.2,75,0,80,0,5.7,0,0,3.1,30.9,1.2,33.10 ,3.9,4,28744.00 ,3.4,1.2,891.2,33.7
12,Bangladesh,Asia-Pacific,131,27,54.1,1.5,20,0,23.3,-3.7,72.5,-0.2,92.3,0.2,70.8,2.8,51.9,0,65.9,0.5,59,5,55,0,30,10,13,25,45,9.9,16,150,306.00 ,6.1,6.2,2039.00 ,5,8.7,990,31.7
13,Barbados,South and Central America / Caribbean,45,6,68.3,-1,80,0,77.9,-0.1,74,-0.5,49.8,-4.4,72.8,-2,78.4,-6,74.6,2.5,60.6,0.1,55,0,60,0,14.7,35,25,27.4,40.9,0.3,7.10 ,0,-0.6,25373.00 ,11,4.6,356.4,72.6
14,Belarus,Europe,150,42,50.1,2.1,20,0,24.6,0.6,89.2,0.4,61.2,17.7,73.4,-1.8,77.7,0.8,33.9,-6.8,81.4,0.6,30,10,10,0,1.8,12,18,24.7,36,9.4,146.70 ,1.5,5,15634.00 ,0.6,59.2,"1,441.80",36.9
15,Belgium,Europe,35,17,69.9,0.7,80,0,74.2,-0.8,44.8,-0.3,14.8,0.3,89.9,-1.7,72.7,2.9,79.5,0.2,87.8,1,85,5,70,0,1.1,50,33,44,53.3,11.1,420.30 ,-0.2,0.4,37883.00 ,7.3,2.6,"-1,613.80",99.6
16,Belize,South and Central America / Caribbean,115,21,56.7,-0.6,30,0,6.7,6.7,82.1,-0.1,74.2,1.6,71.6,-1,67.2,-4.2,77.6,0.3,67.8,-9.4,40,0,50,0,11.1,25,25,23.3,29.3,0.3,3.00 ,5.3,2.7,8754.00 ,16.1,1.4,197.9,78.1
17,Benin,Sub-Saharan Africa,113,18,57.1,-0.5,30,0,29.5,-0.5,68.3,-7.8,86.1,0,51,5.6,50.5,0.8,75.4,-4.5,60,0.7,70,0,50,0,15,45,30,15.5,21.5,9.4,15.60 ,3.8,3.5,1667.00 ,N/A,6.7,158.6,32.5
18,Bhutan,Asia-Pacific,116,24,56.7,1.7,60,0,58.8,1.8,82.9,0.2,57.2,18.4,59.4,-1.1,83.6,-0.8,65.8,-1.5,49.4,-0.1,20,0,30,0,17.8,25,30,13.5,37.8,0.7,5.00 ,9.7,8.2,6665.00 ,3.2,9.7,15.9,72.1
19,Bolivia,South and Central America / Caribbean,158,25,48.4,0.5,10,0,28.1,0.1,87.1,-1.7,62.5,-1.6,53.4,-2.4,29.9,-0.9,70,2.6,77.6,3.3,15,5,50,0,3.7,13,25,22.2,35.4,10.8,55.20 ,5.2,4.8,5099.00 ,5.4,4.5,"1,060",33.1
20,BosniaHerzegovina,Europe,101,38,58.4,1.1,20,0,33.9,1.9,82.9,-0.3,27.4,0.5,55.5,1.2,62.4,1.2,80.1,1.1,86.9,0.5,75,5,60,0,1.5,10,10,38.9,49.2,3.9,31.90 ,-0.7,0.8,8216.00 ,28,2,632.9,44.3
21,Botswana,Sub-Saharan Africa,27,2,72,1.4,70,0,61.2,0.2,81,1.5,69.8,4.7,68.5,-0.5,69.7,-0.1,72.4,0.4,82.7,3,75,5,70,0,3.6,25,22,28.1,31.8,1.9,31.50 ,3.8,2.7,16820.00 ,17.8,7.5,292.5,14.9
22,Brazil,South and Central America / Caribbean,114,20,56.9,-0.8,50,0,37.9,-0.1,68.8,-1.5,54.1,-0.7,53.8,0.8,49.8,-7.4,69.9,-4.5,69.3,-0.4,55,5,60,0,7.9,27.5,34,34.8,39.1,198.4,2355.60 ,0.9,3.2,11875.00 ,5.5,5.4,"65,271.90",68.5
23,Bulgaria,Europe,61,28,65.7,0.7,30,0,35.2,2.2,91.2,-2.8,64.5,0.3,73.5,-0.1,80.2,5.4,79.6,1,87.8,1,55,0,60,0,1.1,10,10,26.1,34.4,7.3,103.80 ,0.8,0.7,14312.00 ,12.4,2.4,"1,899.40",18.5
24,BurkinaFaso,Sub-Saharan Africa,98,13,58.9,-1,30,0,31.3,1.3,83,1.6,82.3,0.3,60.7,-0.5,55,-1.4,78.8,-1.8,67.8,-4.7,60,5,40,-10,8.6,27.5,27.5,13.7,24.3,17.4,24.30 ,8,5.7,1399.00 ,77,3.6,40.1,27.7
25,Burma,Asia-Pacific,162,36,46.5,7.3,10,0,11.6,-3.4,86.9,5,89.2,-7.6,28.3,8.3,75.7,55.7,64.8,-0.3,73.6,0,15,15,10,0,3.2,20,30,3.7,19,63.7,89.50 ,6.3,5.2,1405.00 ,4,6.1,"2,243",47.5
